Ticker,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield,Last,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High
DOCU,Docusign Inc,11373120000,0.00,-1.02,-426460000,1.45,0.00,0.0000,64.62,50.90,0.6123,0.1484,0.2511,0.4948,0.88,0.6566,0.3545,3867455,35.06,65.60
DOV,Dover Corp,13378842000,16.93,5.59,570270000,1.47,1.96,0.0213,91.99,8.80,0.2965,-0.0331,-0.0915,0.0528,-0.24,0.3993,0.1988,706315,65.83,103.47
DOW,Dow Inc,32589844000,0.00,0.86,4499000000,NaN,2.80,0.0639,43.85,-14.10,-0.1195,0.0141,-0.0962,-0.1195,NaN,0.4236,0.2744,4069005,40.44,60.52
DOX,Amdocs Ltd Ord,9111521000,16.70,3.96,354400000,0.39,1.14,0.0175,65.28,10.10,0.1144,-0.0056,0.0430,0.0263,0.80,0.5002,0.1204,559570,52.60,67.57
DPZ,Domino's Pizza Inc,10451741000,27.03,8.96,361970000,0.50,2.60,0.0103,253.48,-7.60,0.0221,0.0680,-0.0856,-0.0955,-0.40,0.5860,0.2172,1082930,220.90,302.05
DRE,Duke Realty Corp,12152261000,24.34,0.64,383730000,0.70,0.86,0.0254,33.81,25.30,0.3054,0.0147,0.0314,0.1968,1.00,0.5476,0.1263,2338530,24.67,34.44
DRI,Darden Restaurants,13969271000,19.76,5.86,713400000,0.36,3.52,0.0309,113.94,3.40,0.1410,-0.0920,-0.0883,0.0517,-0.40,0.3799,0.2181,1668515,95.83,128.41
DT,Dynatrace Inc,5353924000,0.00,-0.14,-116194000,NaN,0.00,0.0000,19.09,NaN,-0.1996,-0.1979,-0.1996,-0.1996,NaN,0.4179,0.4789,1151400,17.43,27.48
DTE,Dte Energy Company,23862254000,21.78,6.08,1120000000,0.21,3.78,0.0290,130.18,16.00,0.1802,0.0101,-0.0065,0.1562,0.80,0.4812,0.1322,1281640,107.22,134.37
DUK,Duke Energy Corp,70011272000,19.98,4.85,2666000000,0.09,3.78,0.0393,96.09,19.50,0.1134,0.0249,0.0717,0.1698,1.00,0.5994,0.1285,2783115,79.01,97.37
DVA,Davita Healthcare Partners Inc,8688260000,15.51,3.59,159390000,1.60,0.00,0.0000,54.20,-17.10,0.0532,-0.0871,-0.0236,-0.2606,0.08,0.4000,0.2827,2147520,43.40,79.11
DVN,Devon Energy Corp,8451822000,14.40,1.52,3064000000,2.35,0.36,0.0172,20.91,-43.30,-0.0723,-0.1045,-0.2516,-0.4608,-0.88,0.3607,0.5742,6647895,20.37,40.02
DXC,Dxc Technology Company,6897460000,3.29,8.18,1257000000,1.92,0.84,0.0319,26.33,-66.70,-0.5048,-0.2285,-0.5211,-0.7077,-1.00,0.2645,0.4698,6489765,26.02,90.39
DXCM,Dexcom,13715285000,215.47,0.74,-127100000,0.66,0.00,0.0000,150.41,17.70,0.2555,-0.0628,0.0329,0.2188,0.40,0.4581,0.3530,689070,105.05,178.45
EA,Electronic Arts Inc,27272186000,25.85,3.62,1019000000,0.95,0.00,0.0000,92.54,-9.60,0.1727,-0.0608,-0.0096,-0.1634,-0.08,0.4310,0.1797,2665130,73.91,112.21
EAF,Graftech International Ltd,3352809000,4.31,2.83,854220000,1.74,0.34,0.0295,11.54,-28.30,0.0087,-0.1089,0.0026,-0.3542,-0.16,0.4066,0.3331,1257715,9.60,19.40
EBAY,Ebay Inc,31302672000,16.96,2.23,2530000000,1.38,0.56,0.0150,37.32,14.90,0.3295,-0.0756,-0.0561,0.1455,NaN,0.3772,0.1372,6898200,26.01,42.00
ECL,Ecolab Inc,54572168000,34.62,5.52,1429100000,0.81,1.84,0.0097,189.65,24.40,0.2871,-0.0824,-0.0400,0.2051,-0.08,0.3908,0.1840,1003145,135.77,209.87
ED,Consolidated Edison Company of New York,30889394000,21.88,4.29,1382000000,0.07,2.96,0.0318,93.00,23.60,0.2163,0.0204,0.0466,0.1920,1.00,0.5808,0.1081,1502060,73.29,94.97
EEFT,Euronet Worldwide,8015582000,25.93,5.76,232850000,1.12,0.00,0.0000,147.11,25.20,0.4369,-0.0343,-0.1249,0.2899,-0.24,0.4722,0.2477,431305,91.78,171.25
EFX,Equifax Inc,16448687000,25.56,5.39,299800000,1.22,1.56,0.0115,136.07,17.70,0.4611,-0.0728,-0.0010,0.0672,0.24,0.4191,0.1708,765345,88.68,148.59
EHC,Encompass Health Corp,6132759000,16.47,3.83,292300000,0.84,1.12,0.0180,62.17,-13.10,0.0076,-0.0268,-0.0110,-0.1883,NaN,0.4822,0.2361,686455,56.74,77.77
EIX,Edison International,26446202000,15.90,4.71,-302000000,0.10,2.45,0.0328,74.73,17.50,0.3164,0.0528,0.0785,0.0686,1.00,0.5566,0.1681,1878680,45.50,76.45
EL,Estee Lauder Companies,68215160000,36.56,5.34,1785000000,0.77,1.72,0.0091,189.09,44.80,0.4534,-0.0867,0.0207,0.3508,0.64,0.4516,0.2095,1401185,121.47,207.50
ELAN,Elanco Animal Health Inc,9757063000,24.00,1.11,86500000,NaN,0.00,0.0000,26.68,-21.80,-0.1538,-0.0245,-0.2002,-0.2155,-1.00,0.4312,0.2527,4473900,25.51,35.46
ELS,Equity Lifestyle Properties,12467105000,33.47,2.96,212610000,0.20,2.45,0.0179,136.95,47.40,0.4100,0.0126,0.0813,0.4484,0.96,0.5890,0.1534,449420,90.90,138.92
EMN,Eastman Chemical Company,9403268000,9.40,7.49,1080000000,1.39,2.48,0.0361,68.64,-17.70,-0.0611,0.0087,-0.0903,-0.2479,-0.56,0.4465,0.2266,1069680,61.22,90.40
EMR,Emerson Electric Company,38849780000,18.90,3.41,2203000000,1.37,1.96,0.0310,63.16,-10.40,0.0571,0.0146,-0.0261,-0.1892,-0.32,0.4898,0.2264,3366650,55.38,77.90
ENR,Energizer Holdings Inc,2678221000,13.23,3.04,93500000,0.59,1.20,0.0309,38.87,-31.90,-0.1391,-0.0436,-0.0345,-0.3577,-0.64,0.4334,0.3447,927830,32.54,61.91
ENTG,Entegris Inc,6158483000,25.71,1.82,240760000,1.36,0.32,0.0070,45.56,71.00,0.6333,0.0287,0.2841,0.6567,0.80,0.5193,0.2362,876560,23.39,48.43
EOG,Eog Resources,39908972000,12.71,5.49,3419040000,1.34,1.15,0.0167,68.73,-44.10,-0.2119,-0.1009,-0.2376,-0.4706,-1.00,0.3427,0.3896,4331515,68.11,133.53
EPAM,Epam Systems Inc,10120372000,44.40,4.28,240260000,1.47,0.00,0.0000,184.51,47.30,0.5905,-0.0434,-0.0009,0.4280,0.64,0.4905,0.2723,299345,104.77,201.00
EPR,Entertainment Properties Trust,6034710000,13.67,3.51,266980000,0.49,4.50,0.0578,77.81,15.00,0.2152,-0.0206,0.0161,0.1412,0.64,0.5489,0.1267,409055,62.75,80.75
EQC,Equity Commonwealth,3801528000,39.10,3.96,272810000,0.24,0.00,0.0000,31.18,3.00,0.0390,-0.0775,-0.0577,0.0520,-0.08,0.3026,0.3448,710285,28.48,34.95
EQH,Axa Equitable Holdings Inc,9911367000,4.90,3.05,1820000000,1.37,0.60,0.0297,20.18,-2.70,0.2135,-0.0377,-0.0688,-0.0769,-0.24,0.3984,0.2560,2730675,14.72,22.93
EQIX,Equinix Inc,46052612000,26.29,6.04,365360000,0.69,9.84,0.0173,569.50,47.70,0.6153,0.0278,0.0970,0.3594,1.00,0.5467,0.2214,425580,335.29,609.97
EQR,Equity Residential,32468182000,26.20,2.00,657540000,0.47,2.27,0.0259,87.55,39.00,0.3263,0.0081,0.1106,0.3407,1.00,0.6500,0.0871,1743385,62.40,88.33
EQT,Eqt Corp,2365921000,4.74,2.06,-2244570000,0.64,0.12,0.0130,9.26,-62.90,-0.5098,-0.1330,-0.3859,-0.6282,-1.00,0.3301,0.4386,5764880,9.06,26.05
ERIE,Erie Indemnity Company,8275118000,30.62,5.85,288220000,0.45,3.60,0.0201,179.15,26.60,0.3439,-0.1711,-0.3248,0.4293,-0.72,0.3207,0.2833,216285,120.15,270.23
ES,Eversource Energy,27457628000,25.33,3.37,1033000000,0.20,2.14,0.0252,84.85,38.10,0.3046,0.0304,0.1014,0.3505,1.00,0.6415,0.0932,1697600,60.98,85.93
ESI,Element Solutions Inc,2402385000,20.62,0.47,-324400000,2.13,0.00,0.0000,9.36,-17.70,-0.0939,-0.0631,-0.0677,-0.2284,-0.72,0.4036,0.2432,1980145,8.55,12.74
ESRT,Empire State Realty Trust Inc,2464388000,14.54,0.30,66540000,0.73,0.42,0.0305,13.78,-13.80,-0.0316,-0.0303,-0.0964,-0.1499,-0.80,0.4549,0.1961,1117920,12.77,16.47
ESS,Essex Property Trust,21539718000,25.55,6.21,390150000,0.33,7.80,0.0238,327.71,36.20,0.3364,0.0020,0.0782,0.3213,1.00,0.5718,0.1060,314090,235.51,331.62
ESTC,Elastic N.V.,6439891000,0.00,-1.27,-102300000,NaN,0.00,0.0000,84.12,24.50,0.1768,-0.0526,0.0705,0.2757,0.08,0.4665,0.5389,1568325,58.55,104.10
ETFC,E*Trade Finl Corp,8974533000,8.72,4.27,1052000000,1.21,0.56,0.0153,36.68,-31.60,-0.1641,-0.1454,-0.1869,-0.3058,-1.00,0.3545,0.6878,4967480,34.68,54.44
ETN,Eaton Corp,32025000000,13.79,5.68,2145000000,1.43,2.84,0.0372,76.25,-5.10,0.1105,-0.0841,-0.0617,-0.1202,-0.08,0.3841,0.2133,2113390,64.46,89.07
ETR,Entergy Corp,23386386000,18.01,6.54,862560000,0.29,3.64,0.0309,117.62,46.20,0.3666,0.0358,0.1270,0.4063,1.00,0.6482,0.0998,1366675,80.04,118.86
ETRN,Equitrans Midstream Corp,3552939000,0.00,1.41,218400000,NaN,1.80,0.1290,13.95,-38.00,-0.3032,0.1232,-0.2715,-0.3322,-0.72,0.4636,0.2044,2993625,12.31,23.47
ETSY,Etsy Inc,6650596000,65.79,0.85,77490000,1.01,0.00,0.0000,55.21,9.30,0.1606,0.1507,-0.1375,0.2843,-0.72,0.4778,0.4362,4788445,38.02,73.35
EV,Eaton Vance Corp,4717243000,12.53,3.37,381940000,1.55,1.40,0.0335,41.73,-6.30,0.1862,-0.0396,-0.0302,-0.1861,0.24,0.4237,0.2286,640415,32.28,51.23
EVR,Evercore Partners Inc,2948859000,8.45,8.89,377240000,2.01,2.32,0.0314,73.96,-20.50,0.0335,-0.0576,-0.1467,-0.2117,-0.88,0.3762,0.2800,532845,64.37,98.90
EVRG,Evergy Inc,15307710000,27.12,2.42,535800000,0.16,1.90,0.0292,65.01,18.00,0.1451,0.0164,0.0607,0.1584,0.80,0.5067,0.1199,1880515,54.57,67.81
EW,Edwards Lifesciences Corp,45343480000,45.58,4.94,722200000,0.84,0.00,0.0000,218.03,50.30,0.4235,-0.0365,0.1674,0.4817,0.72,0.5056,0.2787,1107860,136.44,229.97
EWBC,East West Bancorp,5781127000,8.80,4.75,703700000,1.69,1.10,0.0277,39.72,-30.20,-0.0875,-0.0599,-0.1270,-0.3552,-0.72,0.3772,0.2771,977680,37.69,61.50
EXAS,Exact Sciences Cor,11665303000,0.00,-1.70,-175150000,1.42,0.00,0.0000,90.09,19.10,0.4277,-0.2546,-0.2348,0.3161,-0.40,0.3218,0.3609,2203790,53.06,123.99
EXC,Exelon Corp,46412616000,16.54,2.93,2010000000,0.27,1.45,0.0304,47.77,7.80,0.0592,-0.0073,-0.0205,0.0854,-0.24,0.5062,0.1498,5129905,42.44,51.18
EXEL,Exelixis Inc,5002493000,13.24,1.27,690070000,1.81,0.00,0.0000,16.51,-12.60,-0.1604,-0.1430,-0.1924,-0.0481,-1.00,0.3029,0.2808,2469065,13.42,25.31
EXP,Eagle Materials Inc,3718195000,18.69,4.77,68860000,1.25,0.40,0.0045,88.48,15.40,0.4498,0.0405,0.0107,0.0594,0.56,0.5293,0.2229,408280,57.00,93.18
EXPD,Expeditors Intl,11776266000,19.57,3.62,618200000,0.96,1.00,0.0145,68.98,-1.80,0.0131,-0.0583,-0.0803,-0.0463,-0.72,0.3877,0.1958,810460,62.90,80.69
EXPE,Expedia Group Inc,19683958000,25.21,5.25,406000000,1.08,1.36,0.0103,131.55,11.40,0.1678,-0.0012,-0.0070,0.0731,0.88,0.4906,0.1206,1349465,108.11,144.00
EXR,Extra Space Storage Inc,15139814000,24.32,3.36,415290000,0.18,3.60,0.0308,117.02,35.20,0.2933,-0.0227,0.0695,0.3601,0.56,0.5036,0.1084,926800,84.49,124.46
F,Ford Motor Company,34073260000,6.43,1.35,3677000000,1.10,0.60,0.0703,8.54,-6.10,0.1163,-0.0857,-0.1627,-0.0778,-0.88,0.3453,0.1864,33180602,7.41,10.56
FAF,First American Corp,6510172000,12.05,4.89,474500000,0.89,1.68,0.0290,58.01,24.80,0.2995,-0.0252,0.0595,0.1236,0.72,0.4871,0.1603,668495,41.96,60.48
FANG,Diamondback Energy,13177134000,13.96,5.97,845670000,0.77,0.75,0.0093,80.82,-37.30,-0.1282,-0.1546,-0.2444,-0.3918,-1.00,0.3350,0.4658,2050400,80.76,136.47
FAST,Fastenal Company,17549824000,23.07,1.35,751900000,1.24,0.88,0.0288,30.60,11.60,0.1706,-0.0303,-0.0385,0.0799,-0.32,0.4483,0.2683,4242715,24.00,35.94
FB,Facebook Inc,507112000000,30.45,5.90,22112000000,1.02,0.00,0.0000,177.75,13.40,0.3559,-0.0519,-0.0920,0.1304,-0.24,0.4276,0.2008,13372275,123.02,208.66
FBHS,Fortune Brands Home & Security,7734650000,16.30,3.45,389600000,1.52,0.88,0.0159,55.24,20.30,0.4541,0.0712,-0.0125,0.0676,0.88,0.5743,0.1698,1088550,35.27,58.15
FCNCA,First Citizens Bancs,5138371000,12.42,37.65,400310000,1.16,1.60,0.0035,462.50,9.70,0.2266,0.0302,0.0195,-0.0139,0.88,0.5024,0.1359,44965,355.18,486.14
FCX,Freeport-Mcmoran Inc,12347074000,18.64,0.47,2602000000,2.40,0.20,0.0235,8.51,-37.20,-0.1746,-0.0966,-0.2415,-0.3597,-0.88,0.3213,0.3074,22932855,8.48,14.68
FDS,Factset Research Systems Inc,8962616000,23.94,10.00,352790000,0.97,2.88,0.0123,234.28,0.60,0.1706,-0.1500,-0.1913,0.0665,-0.56,0.3033,0.3899,495065,188.31,305.38
FDX,Fedex Corp,36107336000,9.40,15.12,540000000,1.72,2.60,0.0188,138.39,-38.40,-0.1422,-0.1451,-0.1395,-0.4111,-1.00,0.3559,0.5088,3954260,138.38,234.75
FE,Firstenergy Corp,25714180000,18.62,2.58,1348000000,0.21,1.52,0.0319,47.62,29.20,0.2682,0.0201,0.0935,0.2515,0.88,0.5540,0.1404,3735520,35.33,49.07
FEYE,Fireeye Inc,2972182000,0.00,-0.65,-243120000,0.96,0.00,0.0000,13.84,-19.20,-0.1462,0.0110,-0.0841,-0.1576,-0.48,0.5022,0.2968,3353765,12.66,20.61
FFIV,F5 Networks Inc,7815097000,15.36,8.68,453690000,1.06,0.00,0.0000,129.97,-24.40,-0.1979,-0.0225,-0.0848,-0.2740,-0.88,0.4136,0.2065,534945,121.36,190.08
FHB,First Hawaiian Inc,3440189000,12.10,2.17,264390000,1.15,1.04,0.0403,25.81,0.80,0.1466,0.0066,0.0102,-0.0483,-0.24,0.4564,0.1758,809665,21.19,28.20
FHN,First Horizon National Corp,4874657000,10.74,1.48,545040000,1.31,0.56,0.0359,15.60,0.30,0.1854,-0.0213,0.0498,-0.0988,0.56,0.4384,0.1331,2922770,12.30,17.38
FICO,Fair Isaac and Company Inc,8689903000,58.99,5.26,142420000,1.17,0.00,0.0000,300.72,37.90,0.6081,-0.1859,-0.1013,0.3880,-0.08,0.4030,0.3439,275455,170.26,373.24
FIS,Fidelity National Information Services,79459400000,20.56,6.35,846000000,0.64,1.40,0.0108,129.53,25.60,0.2631,-0.0591,0.0213,0.2073,0.40,0.4485,0.1895,3425775,94.53,141.35
FISV,Fiserv Inc,40519444000,32.18,3.25,1187000000,0.79,0.00,0.0000,103.11,34.80,0.4030,-0.0507,0.1018,0.2791,0.40,0.4901,0.2236,3655510,68.45,109.92
FITB,Fifth Third Bncp,18590870000,9.85,2.67,2193000000,1.38,0.96,0.0377,25.45,-7.40,0.0816,-0.0490,-0.0930,-0.1123,-0.40,0.3861,0.2056,4899530,22.12,30.20
FIVE,Five Below Inc,6861513000,47.41,2.65,149650000,0.58,0.00,0.0000,123.26,6.30,0.2047,-0.0308,-0.0480,0.0225,-0.24,0.4815,0.2239,656815,86.57,148.21
FL,Footlocker Inc,4372543000,8.81,4.70,541000000,0.98,1.52,0.0372,40.85,-22.50,-0.2321,0.0368,-0.0274,-0.1660,-0.56,0.5084,0.2506,2304695,33.12,68.00
FLIR,Flir Systems Inc,6979641000,22.95,2.28,282430000,1.16,0.68,0.0132,51.47,-3.30,0.1821,0.0088,-0.0446,-0.1220,0.48,0.5019,0.1932,775370,40.52,58.93
FLO,Flowers Foods,4691381000,23.27,0.96,157160000,0.40,0.76,0.0343,22.18,14.60,0.2009,-0.0242,-0.0606,0.1398,-0.24,0.4092,0.1291,937055,17.78,24.35
FLR,Fluor Corp,2451521000,12.04,1.51,224830000,2.19,0.84,0.0479,17.52,-55.20,-0.4559,-0.0941,-0.4475,-0.7047,-1.00,0.3811,0.5384,2377300,16.25,59.44
FLS,Flowserve Corp,5574725000,21.87,2.02,119670000,1.68,0.76,0.0179,42.50,-16.00,0.1178,-0.0345,-0.1931,-0.2081,-0.56,0.3962,0.2888,1064525,35.88,55.42
FLT,Fleetcor Technologies,24226056000,27.39,10.39,811480000,1.12,0.00,0.0000,279.85,33.70,0.5068,-0.0753,-0.0378,0.2908,0.24,0.4375,0.2089,604705,172.18,304.65
FMC,FMC Corp,10309423000,13.40,6.05,502100000,1.46,1.60,0.0202,79.04,-6.80,0.0687,-0.0957,-0.0561,-0.1282,0.08,0.3353,0.2282,969400,69.36,92.13
FNB,F.N.B. Corp,3651572000,9.82,1.17,373000000,1.29,0.48,0.0427,11.24,-4.90,0.1423,0.0534,-0.0368,-0.1219,-0.24,0.4909,0.2044,1759285,9.35,12.98
FND,Floor & Decor Holdings Inc,4667865000,44.63,1.07,116190000,1.94,0.00,0.0000,46.86,59.90,0.8093,-0.0439,0.1036,0.6254,0.72,0.4758,0.2628,1334780,23.30,53.00
FNF,Fidelity National Financial,12120998000,16.38,2.76,628000000,0.84,1.24,0.0281,44.17,29.20,0.4049,-0.0092,0.0618,0.1476,1.00,0.5200,0.1591,1344170,29.50,45.40
FOX,Fox Corp Cl B,18639930000,0.00,1.38,1595000000,NaN,0.46,0.0153,30.03,-30.50,-0.2338,-0.1132,-0.1687,-0.2338,NaN,0.3129,0.1629,1043065,29.61,41.73
FOXA,Fox Corp Cl A,18652344000,0.00,1.38,1595000000,NaN,0.46,0.0153,30.06,-31.80,-0.2091,-0.1220,-0.1681,-0.2091,NaN,0.3107,0.1671,4661480,29.69,41.95
FRC,First Republic Bank,15573097000,18.97,4.98,853830000,0.89,0.76,0.0082,92.60,-3.00,0.0656,0.0382,-0.0699,-0.0157,-0.80,0.4668,0.2221,1149030,79.42,107.75
FRT,Federal Realty Investment Trust,10115793000,21.53,3.36,241910000,0.45,4.20,0.0311,134.96,11.80,0.1433,0.0054,0.0244,0.0799,0.88,0.5382,0.0735,484485,115.09,139.29
FSLR,First Solar Inc,6003299000,271.24,0.21,144330000,1.26,0.00,0.0000,56.96,18.40,0.3417,-0.0931,-0.1453,0.2050,-0.40,0.4028,0.4745,1689450,36.51,69.24
FTDR,Frontdoor Inc,4199437000,27.37,1.82,125000000,NaN,0.00,0.0000,49.61,64.30,0.8643,-0.0252,0.1397,0.0660,0.56,0.5032,0.4023,361350,20.66,53.29
FTNT,Fortinet Inc,13052598000,55.58,1.40,332200000,1.07,0.00,0.0000,76.33,-5.40,0.0838,-0.0470,-0.0282,-0.0880,-0.88,0.4291,0.2099,1151235,64.41,96.96
FTV,Fortive Corp,21554638000,19.54,3.36,2913800000,1.21,0.28,0.0044,64.24,-22.90,-0.0505,-0.0618,-0.2015,-0.2320,-1.00,0.3652,0.2427,2312215,62.89,89.48
FWONA,Liberty Media F1 Series A,8980177000,0.00,-1.59,531000000,0.89,0.00,0.0000,38.85,24.90,0.3072,-0.0415,0.1059,0.1590,0.56,0.4896,0.2229,77830,26.63,40.81
FWONK,Liberty Media F1 Series K,9442477000,0.00,-1.59,531000000,0.95,0.00,0.0000,40.85,26.20,0.3306,-0.0453,0.1064,0.1599,0.56,0.4905,0.2322,600130,27.51,43.05
G,Genpact Ltd,7120928000,23.37,1.64,282020000,0.80,0.34,0.0091,37.38,27.80,0.3850,-0.1038,-0.0220,0.2590,0.08,0.3815,0.1730,1019495,25.48,44.55
GD,General Dynamics Corp,50980964000,15.65,11.29,3345000000,1.20,4.08,0.0231,176.50,-5.20,0.1227,-0.0839,-0.0274,-0.1480,0.08,0.3751,0.1454,1566220,143.87,207.00
GDDY,Godaddy Inc,10984090000,114.79,0.56,77100000,0.69,0.00,0.0000,61.53,-20.30,-0.0623,-0.0465,-0.1251,-0.1901,-0.88,0.3842,0.2644,1357285,56.67,82.30
GDI,Gardner Denver Holdings Inc,5512741000,22.23,1.24,269400000,1.43,0.00,0.0000,27.01,-3.60,0.3208,-0.0408,-0.2079,-0.0018,-0.56,0.3874,0.2860,1413500,18.70,36.22
GE,General Electric Company,72260144000,13.81,0.62,-22354000000,1.11,0.04,0.0048,8.28,-30.00,0.0938,-0.0494,-0.1882,-0.3916,-0.80,0.3822,0.2795,46472039,6.66,13.78
GGG,Graco Inc,7261021000,23.51,1.90,341050000,0.97,0.64,0.0147,43.53,1.30,0.0401,-0.0619,-0.1349,-0.0014,-0.88,0.3833,0.1868,473205,37.36,53.91
GH,Guardant Health Inc,5566805000,0.00,-2.67,-85060000,NaN,0.00,0.0000,59.88,-6.70,0.5930,-0.2658,-0.2822,1.0264,-0.56,0.3178,0.5163,1757210,28.73,112.21
GHC,Graham Holdings Company,3432313000,15.05,43.91,271210000,0.45,5.56,0.0086,645.90,4.50,0.0083,-0.0857,-0.1037,0.1064,-0.72,0.3498,0.1805,20995,553.26,756.26
GILD,Gilead Sciences Inc,78127608000,9.76,6.43,5455000000,1.10,2.52,0.0408,61.69,-15.50,-0.0137,-0.0483,-0.0858,-0.1925,-0.88,0.3964,0.1792,6046340,60.32,77.39
GIS,General Mills,32727936000,16.52,3.30,1752700000,0.73,1.96,0.0362,54.15,25.20,0.3906,-0.0147,0.0019,0.2199,0.80,0.5021,0.1597,3569525,36.42,56.40
GL,Globe Life Inc,10076660000,14.52,6.46,701470000,0.95,0.69,0.0075,92.36,11.70,0.2392,0.0074,0.0164,0.0413,0.88,0.4961,0.1591,412560,69.68,96.92
GLIBA,Gci Liberty Inc Cl A,6842581000,0.00,-2.75,-873300000,1.36,0.00,0.0000,64.78,38.50,0.5739,0.0136,0.0355,0.3058,1.00,0.5910,0.1996,447960,38.72,65.59
GLPI,Gaming & Leisure,8288910000,11.67,1.56,339520000,0.51,2.72,0.0704,38.61,11.20,0.1950,-0.0130,-0.0309,0.1060,0.16,0.5157,0.1268,861975,31.19,40.82
GLW,Corning Inc,21294216000,14.32,1.95,1066000000,1.16,0.80,0.0293,27.27,-19.00,-0.0973,-0.0374,-0.1739,-0.2089,-0.88,0.4205,0.3004,6259805,26.75,35.34
GM,General Motors Company,48371460000,5.47,6.35,8014000000,1.40,1.52,0.0449,33.88,-2.20,0.0129,-0.1264,-0.1138,-0.0108,-0.88,0.3259,0.2741,9451275,30.56,41.90
GNTX,Gentex Corp,6509527000,15.84,1.65,437880000,1.22,0.46,0.0180,25.55,31.00,0.2642,-0.0634,0.0686,0.2349,0.56,0.3627,0.1476,1565250,17.80,28.43
GO,Grocery Outlet Holding Corp,2898044000,0.00,-0.03,15868000,NaN,0.00,0.0000,32.80,NaN,0.1505,-0.1746,0.0171,0.1505,NaN,0.3830,0.3600,1153125,27.75,47.57
GOOG,Alphabet Cl C,824539000000,23.25,51.94,30736000000,0.99,0.00,0.0000,1189.13,7.80,0.1482,-0.0131,0.0652,0.0350,0.64,0.4729,0.1825,1363830,970.11,1289.27
GOOGL,Alphabet Cl A,825233000000,23.26,51.94,30736000000,0.99,0.00,0.0000,1190.13,7.00,0.1389,-0.0134,0.0657,0.0296,0.64,0.4728,0.1838,1311020,977.66,1296.97
GPC,Genuine Parts Company,13519520000,16.64,5.68,810470000,0.95,3.05,0.0330,92.55,-7.00,-0.0361,-0.0189,-0.1197,-0.0721,-0.80,0.4306,0.2121,678585,87.26,115.20
GPK,Graphic Packaging Holding Company,4136158000,15.91,0.90,221100000,1.35,0.30,0.0213,14.07,13.60,0.3224,0.0130,-0.0092,0.0399,0.88,0.4964,0.2026,4054365,10.04,15.58
GPN,Global Payments Inc,24679918000,29.83,5.37,452050000,1.00,0.04,0.0003,157.52,33.30,0.5274,-0.0966,-0.0336,0.3365,0.24,0.4405,0.1607,2978705,94.81,175.95
GPS,Gap Inc,6020124000,7.27,2.28,1003000000,0.70,0.97,0.0605,16.02,-43.40,-0.3781,-0.0498,-0.1331,-0.4264,-0.88,0.4097,0.3235,6596565,15.11,31.39
GRA,W.R. Grace & Company,4290458000,14.92,4.34,167600000,0.96,1.08,0.0168,64.29,-8.10,-0.0096,-0.0829,-0.1755,-0.1295,-0.88,0.3753,0.2319,590620,59.22,79.71
GRMN,Garmin Ltd,16497833000,21.65,3.91,694080000,0.91,2.28,0.0274,83.29,28.90,0.3154,-0.0020,0.0483,0.2276,0.72,0.5126,0.1394,957415,59.98,89.72
GRUB,Grubhub Inc,4777762000,83.23,0.66,78480000,1.21,0.00,0.0000,52.30,-52.20,-0.3191,-0.1341,-0.3100,-0.5872,-1.00,0.3552,0.4178,2018660,51.57,129.66
GS,Goldman Sachs Group,70967144000,8.41,23.84,10459000000,1.35,5.00,0.0253,197.37,-5.90,0.1815,-0.0475,-0.0407,-0.1242,0.08,0.4029,0.1816,2513770,151.70,234.06
GT,Goodyear Tire Rubber,3076253000,8.20,1.63,693000000,1.77,0.64,0.0484,13.23,-37.30,-0.3518,0.0853,-0.1018,-0.4123,-0.40,0.4841,0.3541,3584145,10.74,23.95
GTES,Gates Industrial Corp Plc,2694913000,8.20,1.17,245300000,2.02,0.00,0.0000,9.49,-40.60,-0.2832,-0.0063,-0.1373,-0.4895,-0.56,0.4599,0.2799,417185,6.76,18.65
GWR,Genesee & Wyoming,6288697000,27.32,4.04,244420000,1.34,0.00,0.0000,110.39,37.30,0.4914,-0.0033,0.0082,0.2266,0.72,0.5694,0.0193,701265,68.27,110.99
GWRE,Guidewire Software Inc,8540407000,172.42,0.62,20730000,1.17,0.00,0.0000,103.97,17.50,0.2959,-0.0497,0.0224,0.0933,0.72,0.5107,0.2694,688300,73.82,113.34
GWW,W.W. Grainger,15399388000,16.70,17.30,782000000,0.95,5.76,0.0204,282.19,-7.20,-0.0006,0.0143,0.0613,-0.1842,0.24,0.4803,0.2036,349120,255.09,344.99
H,Hyatt Hotels Corp,7372847000,32.94,2.16,769000000,1.07,0.76,0.0108,70.31,-4.20,0.0401,-0.0450,-0.0944,-0.0756,-0.40,0.3767,0.1762,579940,63.45,81.57
HAIN,Hain Celestial Group,2100013000,31.57,0.65,-183310000,1.39,0.00,0.0000,20.15,-16.20,0.2705,0.0270,-0.0837,-0.2467,-0.16,0.4457,0.3157,1020645,14.45,26.81
HAL,Halliburton Company,15985759000,12.32,1.49,1656000000,1.37,0.72,0.0395,18.25,-53.30,-0.3134,-0.0440,-0.2151,-0.5656,-0.88,0.4106,0.5271,13899760,16.97,42.57
